Characteristic,Cost of EpiPens in U.S. Dollars
"1st November, 2004",106.32
"23rd February, 2005",106.96
"23rd February, 2006",107.76
"22nd February, 2007",108.96
"16th January, 2008",110.18
"14th January, 2009",116.1
"12th October, 2009",139.42
"3rd August, 2010",150.76
"15th December, 2010",165.68
"12th May, 2011",176.5
"18th October, 2011",193.96
"6th March, 2012",208.84
"27th July, 2012",229.52
"7th November, 2012",252.24
"17th July, 2013",273.24
"8th November, 2013",313.94
"2nd May, 2014",354.94
"5th Nov, 2014",407.84
"1st May, 2015",468.06
"23rd November, 2015",537.8
"16th May, 2016",608.61
