Characteristic,Gross domestic product in billion U.S. dollars
2026*,54.06
2025*,52.23
2024*,50.31
2023*,48.43
2022*,46.53
2021*,44.27
2020*,39.55
2019,39.17
2018,40.14
2017,39.63
2016,41.8
2015,43.17
2014,47.63
2013,46.25
2012,45.04
2011,45.81
2010,44.05
2009,43.47
2008,44.84
2007,38.92
2006,34.38
2005,32.27
2004,31.18
2003,27.45
2002,23.14
2001,22.07
2000,21.47
1999,22.94
1998,21.8
1997,20.75
1996,21.28
1995,19.65
1994,17.05
1993,15.94
1992,16.98
1991,14.2
1990,13.47
1989,11.07
1988,11.07
1987,10.66
1986,9.91
