Characteristic,USD BRL exchange rate
Nov-20,5.34
Oct-20,5.78
Sep-20,5.63
Aug-20,5.39
Jul-20,5.15
Jun-20,5.4
May-20,5.27
Apr-20,5.33
Mar-20,5.19
Feb-20,4.48
Jan-20,4.24
Dec-19,4.02
Nov-19,4.26
Oct-19,3.99
Sep-19,4.16
Aug-19,4.17
Jul-19,3.79
Jun-19,3.82
May-19,3.98
Apr-19,3.94
Mar-19,3.99
Feb-19,3.73
Jan-19,3.68
Dec-18,3.87
Nov-18,3.85
Oct-18,3.69
Sep-18,4.01
Aug-18,4.15
Jul-18,3.73
Jun-18,3.86
May-18,3.72
Apr-18,3.46
Mar-18,3.3
Feb-18,3.25
Jan-18,3.18
Dec-17,3.31
Nov-17,3.24
Oct-17,3.29
Sep-17,3.18
Aug-17,3.16
Jul-17,3.18
Jun-17,3.3
May-17,3.26
Apr-17,3.18
Mar-17,3.15
Feb-17,3.11
